txid,ordertxid,pair,dateTime,date,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers
null,null,NANOEUR,1:02:25 PM,5/19/21,1:02:25 PM,buy,market,5.070526,167.327358,0.435051,33,0,,null
null,null,ADAETH,6:45:30 PM,5/19/21,6:45:30 PM,sell,limit,0.0006207,0.0279315,0.000072622,45,0,,null
null,null,NANOUSD,2:23:36 AM,5/20/21,2:23:36 AM,buy,limit,6.5075,107.37375,0.171798,16.5,0,,null
null,null,ADAXBT,2:28:28 AM,5/20/21,2:28:28 AM,sell,market,0.00004023,0.00181035,0.000004707,45,0,,null
null,null,NANOUSD,6:57:35 AM,5/20/21,6:57:35 AM,sell,limit,7.879746,78.79746,0.204873,10,0,,null
null,null,NANOETH,8:06:20 AM,5/20/21,8:06:20 AM,sell,market,0.00272134,0.074210942,0.000192948,27.27,0,,null
null,null,NANOUSD,11:38:22 AM,5/20/21,11:38:22 AM,sell,limit,8.0723,49.257175,0.078811,6.102,0,,null
null,null,NANOEUR,1:27:15 PM,5/20/21,1:27:15 PM,sell,market,7.39382,307.789942,0.800254,41.628,0,,null
null,null,XXMRZEUR,6:17:50 AM,5/21/21,6:17:50 AM,buy,market,238.96,167.272,0.4349072,0.7,0,,null
null,null,ETHDAI,6:41:20 AM,5/21/21,6:41:20 AM,sell,limit,2737.375,160.820781,0.418134,0.05875,0,,null
null,null,XXMRZUSD,7:40:13 AM,5/23/21,7:40:13 AM,sell,limit,240.57,259.8156,0.41570496,1.08,0,,null
null,null,ADAUSD,7:41:26 AM,5/23/21,7:41:26 AM,buy,market,1.404694,158.730475,0.412699,113,0,,null
null,null,XETHZUSD,10:32:51 PM,6/19/21,10:32:51 PM,buy,market,2185.34667,262.2416,0.68183,0.12,0,,null
null,null,ADAEUR,10:35:57 PM,6/19/21,10:35:57 PM,buy,market,1.176372,117.6372,0.305857,100,0,,null
null,null,ETHDAI,9:51:16 PM,7/6/21,9:51:16 PM,buy,market,2297.449,45.94898,0.119467,0.02,0,,null
null,null,XXMRZUSD,9:53:22 PM,7/6/21,9:53:22 PM,buy,market,214.36,67.137552,0.17455764,0.3132,0,,null
null,null,XXMRZEUR,9:54:56 PM,7/6/21,9:54:56 PM,buy,market,181.7,12.13756,0.03155766,0.0668,0,,null
null,null,ETHDAI,10:10:18 PM,7/14/21,10:10:18 PM,buy,market,1992.044,83.665848,0.217531,0.042,0,,null
null,null,ADAETH,10:13:25 PM,7/14/21,10:13:25 PM,buy,market,0.0006368,0.03184,0.000082784,50,0,,null
null,null,ADAEUR,10:15:38 PM,8/1/21,10:15:38 PM,buy,limit,1.137872,62.58296,0.162716,55,0,,null
